alg,load,burst,count,avg,p95,p99,max
101,0.4,0.3,3374,644.461495,5174.430000,7360.030000,8687.510000
101,0.4,0.7,3374,486.386740,3884.710000,5526.750000,6522.690000
101,0.6,0.3,4119,334.402978,2938.820000,6471.750000,8776.690000
101,0.6,0.7,4119,253.713592,2206.520000,4856.200000,6590.780000
101,0.8,0.3,4873,324.679904,2732.500000,6914.700000,9114.790000
101,0.8,0.7,4873,244.345727,2067.300000,5192.300000,6843.340000
110,0.4,0.3,3374,642.186024,5174.430000,7359.970000,8687.200000
110,0.4,0.7,3374,483.586148,3884.700000,5526.520000,6520.760000
110,0.6,0.3,4119,328.051439,2938.820000,6466.980000,8777.120000
110,0.6,0.7,4119,248.323303,2206.520000,4856.400000,6589.940000
110,0.8,0.3,4873,316.717957,2729.800000,6914.270000,9116.240000
110,0.8,0.7,4873,239.986299,2049.660000,5193.190000,6842.260000
